"","Date","confirmed","deaths"
"1",2019-12-31,0,0
"2",2020-01-01,0,0
"3",2020-01-02,0,0
"4",2020-01-03,0,0
"5",2020-01-04,0,0
"6",2020-01-05,0,0
"7",2020-01-06,0,0
"8",2020-01-07,0,0
"9",2020-01-08,0,0
"10",2020-01-09,0,0
"11",2020-01-10,0,0
"12",2020-01-11,0,0
"13",2020-01-12,0,0
"14",2020-01-13,0,0
"15",2020-01-14,0,0
"16",2020-01-15,0,0
"17",2020-01-16,0,0
"18",2020-01-17,0,0
"19",2020-01-18,0,0
"20",2020-01-19,0,0
"21",2020-01-20,0,0
"22",2020-01-21,1,0
"23",2020-01-22,1,0
"24",2020-01-23,1,0
"25",2020-01-24,1,0
"26",2020-01-25,2,0
"27",2020-01-26,2,0
"28",2020-01-27,5,0
"29",2020-01-28,5,0
"30",2020-01-29,5,0
"31",2020-01-30,5,0
"32",2020-01-31,6,0
"33",2020-02-01,7,0
"34",2020-02-02,8,0
"35",2020-02-03,11,0
"36",2020-02-04,11,0
"37",2020-02-05,11,0
"38",2020-02-06,12,0
"39",2020-02-07,12,0
"40",2020-02-08,12,0
"41",2020-02-09,12,0
"42",2020-02-10,12,0
"43",2020-02-11,13,0
"44",2020-02-12,13,0
"45",2020-02-13,14,0
"46",2020-02-14,15,0
"47",2020-02-15,15,0
"48",2020-02-16,15,0
"49",2020-02-17,15,0
"50",2020-02-18,15,0
"51",2020-02-19,15,0
"52",2020-02-20,15,0
"53",2020-02-21,16,0
"54",2020-02-22,35,0
"55",2020-02-23,35,0
"56",2020-02-24,35,0
"57",2020-02-25,53,0
"58",2020-02-26,53,0
"59",2020-02-27,59,0
"60",2020-02-28,60,0
"61",2020-02-29,66,0
"62",2020-03-01,69,1
"63",2020-03-02,89,2
"64",2020-03-03,103,6
"65",2020-03-04,125,9
"66",2020-03-05,159,11
"67",2020-03-06,233,12
"68",2020-03-07,338,14
"69",2020-03-08,433,17
"70",2020-03-09,554,21
"71",2020-03-10,754,26
"72",2020-03-11,1025,28
"73",2020-03-12,1312,30
"74",2020-03-13,1663,40
"75",2020-03-14,2174,47
"76",2020-03-15,2951,57
"77",2020-03-16,3774,69
"78",2020-03-17,4661,85
"79",2020-03-18,6427,108
"80",2020-03-19,9415,150
"81",2020-03-20,14250,150
"82",2020-03-21,19624,260
"83",2020-03-22,26747,340
"84",2020-03-23,35206,471
"85",2020-03-24,46442,590
"86",2020-03-25,55231,801
"87",2020-03-26,69194,1050
"88",2020-03-27,85991,1296
"89",2020-03-28,104686,1707
"90",2020-03-29,124665,2191
"91",2020-03-30,143025,2509
"92",2020-03-31,164620,3170
"93",2020-04-01,189618,4079
"94",2020-04-02,216721,5138
"95",2020-04-03,245540,6053
"96",2020-04-04,277965,7157
"97",2020-04-05,312237,8501
"98",2020-04-06,337635,9647
"99",2020-04-07,368196,10989
"100",2020-04-08,398809,12895
"101",2020-04-09,432132,14817
"102",2020-04-10,466033,16690
"103",2020-04-11,501560,18777
"104",2020-04-12,529951,20608
"105",2020-04-13,557571,22108
"106",2020-04-14,582594,23649
"107",2020-04-15,609516,26057
"108",2020-04-16,639664,30985
"109",2020-04-17,671331,33284
"110",2020-04-18,702164,37054
"111",2020-04-19,735086,38910
"112",2020-04-20,759687,40682
"113",2020-04-21,787752,42539
"114",2020-04-22,825041,45063
"115",2020-04-23,842629,46784
"116",2020-04-24,869172,49963
"117",2020-04-25,890524,51017
"118",2020-04-26,939053,53189
"119",2020-04-27,965910,54876
"120",2020-04-28,988451,56245
"121",2020-04-29,1012583,58355
"122",2020-04-30,1039909,60966
"123",2020-05-01,1069826,63006
"124",2020-05-02,1103781,65068
"125",2020-05-03,1133069,66385
"126",2020-05-04,1158041,67682
"127",2020-05-05,1180634,68934
"128",2020-05-06,1204475,71078
"129",2020-05-07,1228603,73431
"130",2020-05-08,1256972,75670
"131",2020-05-09,1283929,77180
"132",2020-05-10,1309541,78794
"133",2020-05-11,1329799,79528
"134",2020-05-12,1347916,80684
"135",2020-05-13,1369964,82387
"136",2020-05-14,1390746,84133
"137",2020-05-15,1417889,85906
"138",2020-05-16,1443397,87568
"139",2020-05-17,1467884,88754
"140",2020-05-18,1486757,89562
"141",2020-05-19,1508598,90353
"142",2020-05-20,1528568,91921
"143",2020-05-21,1551853,93439
"144",2020-05-22,1577287,94702
"145",2020-05-23,1601434,96007
"146",2020-05-24,1622670,97087
"147",2020-05-25,1643238,97720
"148",2020-05-26,1662302,98220
"149",2020-05-27,1681212,98916
"150",2020-05-28,1699933,100442
"151",2020-05-29,1721750,101617
"152",2020-05-30,1747087,102836
"153",2020-05-31,1770384,103781
